"種別コード
(categoryName)"	"種別名（辞書管理）
(category)"	"システムコード
(systemName)"	"システム名（他言語対応項目）
(system)"
A0010001	企業ステータス	B02	準備中【未承認】
A0010001	企業ステータス	B03	取引先
A0010002	企業ステータス（状態）	B00	取引なし
A0010002	企業ステータス（状態）	B01	準備中
A0010002	企業ステータス（状態）	B02	取引先
A0010003	企業ステータス（状態の詳細）	B01	申請
A0010003	企業ステータス（状態の詳細）	B02	未承認
A0010004	図面登録ステータス	B00	アセット未登録
A0010004	図面登録ステータス	B01	アセット登録済
A0010005	図面登録ステータス（状態）	B00	アセット未登録
A0010005	図面登録ステータス（状態）	B01	アセット登録済
A0010006	図面登録ステータス（状態の詳細）	B00
A0010007	見積依頼予定ステータス	B00	未依頼
A0010007	見積依頼予定ステータス	B01	依頼あり
A0010007	見積依頼予定ステータス	B02	完了
A0010007	見積依頼予定ステータス	B03	破棄
A0010008	見積依頼ステータス	B00	準備中【一時保存】
A0010008	見積依頼ステータス	B01	準備中【未承認】
A0010008	見積依頼ステータス	B02	準備中【公開却下】
A0010008	見積依頼ステータス	B03	公開中
A0010008	見積依頼ステータス	B04	公開中【一時保存】
A0010008	見積依頼ステータス	B05	公開中【未承認】
A0010008	見積依頼ステータス	B06	公開中【公開却下】
A0010008	見積依頼ステータス	B07	回答締切
A0010008	見積依頼ステータス	B08	完了
A0010008	見積依頼ステータス	B09	破棄
A0010009	見積依頼伝票ステータス	B00	準備中
A0010009	見積依頼伝票ステータス	B01	公開中
A0010009	見積依頼伝票ステータス	B02	回答締切
A0010009	見積依頼伝票ステータス	B03	完了
A0010009	見積依頼伝票ステータス	B04	破棄
A0010010	見積依頼保存承認ステータス	B00	一時保存
A0010010	見積依頼保存承認ステータス	B01	未承認
A0010010	見積依頼保存承認ステータス	B02	公開却下
A0010011	見積結果ステータス	B00	回答受付
A0010011	見積結果ステータス	B01	辞退
A0010011	見積結果ステータス	B02	選考中【一時保存】
A0010011	見積結果ステータス	B03	選考中【未承認】
A0010011	見積結果ステータス	B04	選考中【公開却下】
A0010011	見積結果ステータス	B05	締切後差戻
A0010011	見積結果ステータス	B06	選考済【採用】
A0010011	見積結果ステータス	B07	選考済【不採用】
A0010011	見積結果ステータス	B08	完了【採用】
A0010011	見積結果ステータス	B09	完了【不採用】
A0010011	見積結果ステータス	B10	完了【辞退】
A0010011	見積結果ステータス	B11	破棄
A0010012	見積結果伝票ステータス	B00	回答受付
A0010012	見積結果伝票ステータス	B01	辞退
A0010012	見積結果伝票ステータス	B02	選考中
A0010012	見積結果伝票ステータス	B03	締切後差戻
A0010012	見積結果伝票ステータス	B04	選考済
A0010012	見積結果伝票ステータス	B05	完了
A0010012	見積結果伝票ステータス	B06	破棄
A0010013	見積選考保存承認ステータス	B00	一時保存
A0010013	見積選考保存承認ステータス	B01	未承認
A0010013	見積選考保存承認ステータス	B02	公開却下
A0010014	見積ステータス	B00	回答中【未入力】
A0010014	見積ステータス	B01	回答中【一時保存】
A0010014	見積ステータス	B02	回答中【確定(未公開)】
A0010014	見積ステータス	B03	回答済み
A0010014	見積ステータス	B04	辞退
A0010014	見積ステータス	B05	選考中
A0010014	見積ステータス	B06	締切後差戻【一時保存】
A0010014	見積ステータス	B07	締切後差戻【確定(未公開)】
A0010014	見積ステータス	B08	選考済
A0010014	見積ステータス	B09	完了
A0010014	見積ステータス	B10	依頼破棄
A0010014	見積ステータス	B11	依頼締切
A0010015	見積伝票ステータス	B00	回答中
A0010015	見積伝票ステータス	B01	回答済
A0010015	見積伝票ステータス	B02	辞退
A0010015	見積伝票ステータス	B03	選考中
A0010015	見積伝票ステータス	B04	締切後差戻
A0010015	見積伝票ステータス	B05	選考済
A0010015	見積伝票ステータス	B06	完了
A0010015	見積伝票ステータス	B07	依頼破棄
A0010015	見積伝票ステータス	B08	依頼締切
A0010016	見積保存承認ステータス	B00	未入力
A0010016	見積保存承認ステータス	B01	一時保存
A0010016	見積保存承認ステータス	B02	確定(未公開)
A0010019	アセットステータス	B00	用途なし
A0010019	アセットステータス	B01	紐付けなし
A0010019	アセットステータス	B02	紐付けあり
A0010020	アセットステータス（状態）	B00	用途なし
A0010020	アセットステータス（状態）	B01	紐付けなし
A0010020	アセットステータス（状態）	B02	紐付けあり
A0010021	アセットステータス（状態の詳細）	B00	未使用
A0010022	アカウントステータス	B00	無効
A0010022	アカウントステータス	B01	無効【停止】
A0010022	アカウントステータス	B02	有効
A0010023	アカウントステータス（状態）	B00	無効
A0010023	アカウントステータス（状態）	B01	有効
A0010024	アカウントステータス（状態の詳細）	B01	停止
A0100001	承認ステータス	B01	未申請
A0100001	承認ステータス	B02	未承認
A0100001	承認ステータス	B03	承認中
A0100001	承認ステータス	B04	承認
A0100001	承認ステータス	B05	却下
A1000001	依頼テンプレート分類	B00	依頼テンプレート分類
A1000002	完了区分	B01	回答必要
A1000002	完了区分	B02	確認必要
A1000002	完了区分	B03	確認不要
A1000003	催促メッセージ区分	B00	催促メッセージ区分
A1000004	催促メッセージ	B00	催促メッセージ
A1000005	通知先設定	B01	取引先担当者
A1000005	通知先設定	B02	取引先アシスタント
A1000005	通知先設定	B03	自社担当者
A1000006	初回前後区分	B01	日後
A1000006	初回前後区分	B02	日前
A1010001	調査依頼ステータス	B00	一時保存
A1010001	調査依頼ステータス	B01	未承認
A1010001	調査依頼ステータス	B02	公開却下
A1010001	調査依頼ステータス	B03	送信中
A1010001	調査依頼ステータス	B04	回答待ち
A1010001	調査依頼ステータス	B05	部分回答
A1010001	調査依頼ステータス	B06	回答受領
A1010001	調査依頼ステータス	B07	回答辞退
A1010001	調査依頼ステータス	B08	依頼終了
A1010001	調査依頼ステータス	B09	破棄
A1010001	調査依頼ステータス	B10	未開封
A1010002	調査回答ステータス	B00	未回答
A1010002	調査回答ステータス	B01	部分回答
A1010002	調査回答ステータス	B02	回答済
A1010002	調査回答ステータス	B03	辞退
A1010002	調査回答ステータス	B04	依頼終了
A1010002	調査回答ステータス	B05	破棄
A1010002	調査回答ステータス	B06	未開封
A1010003	調査依頼フォーム入力ステータス	B01	未入力
A1010003	調査依頼フォーム入力ステータス	B02	入力済
A2000001	指図案件テンプレート分類	B00	指図案件テンプレート分類
A2000002	システム分類	B01	指図案件
A2000002	システム分類	B02	調査依頼
A2000002	システム分類	B03	見積依頼
A2010001	指図案件ステータス	B00	一時保存
A2010001	指図案件ステータス	B01	未承認
A2010001	指図案件ステータス	B02	承認却下
A2010001	指図案件ステータス	B03	承認済み
A2010001	指図案件ステータス	B04	作業中
A2010001	指図案件ステータス	B05	作業完了
A2010001	指図案件ステータス	B06	案件完了
A2010001	指図案件ステータス	B07	破棄
A3010001	テナントステータス	B00	紐付けなし
A3010001	テナントステータス	B01	招待中
A3010001	テナントステータス	B02	招待中(期限切れ)
A3010001	テナントステータス	B03	紐付けあり
A4000001	自社強み	B01	加工材質
A4000001	自社強み	B02	加工サイズ
A4000001	自社強み	B03	精度品質
A4000001	自社強み	B04	提案力
A4000001	自社強み	B05	価格交渉
A4000001	自社強み	B06	レスポンス速度
A4000001	自社強み	B07	リードタイム速度
A4000001	自社強み	B08	[対応範囲]構想
A4000001	自社強み	B09	[対応範囲]開発
A4000001	自社強み	B10	[対応範囲]設計
A4000001	自社強み	B11	[対応範囲]工程設計
A4000001	自社強み	B12	[対応範囲]試作
A4000001	自社強み	B13	[対応範囲]量産
A4000001	自社強み	B14	[対応範囲]改善
A4000001	自社強み	B15	[対応範囲]検査
A4000001	自社強み	B16	事業継続性
A4000001	自社強み	B17	取引企業
A4000001	自社強み	B18	取引事例
A4000001	自社強み	B19	取り組み
A4000002	認証	B00	認証
A4000002	認証	B01	認証その他
A4000003	設備分類	B00	設備分類
A4000004	精度	B00	精度
A4000005	加工可能な材料	B00	加工可能な材料
A4000006	通知先分類	B01	主担当
A4000006	通知先分類	B02	アシスタント
A4000008	自社強み分類説明	B00	自社強み分類説明
A4000009	ファイル種別	B01	取引先情報
A4000009	ファイル種別	B02	社内情報
A4000009	ファイル種別	B04	取引先情報(旧フォーマット)
A4000010	文書分類	B00	文書分類
A4000011	品質要求ランク	B00	品質要求ランク
A4010001	連絡先ステータス(自社)	B00	入力依頼あり
A4010001	連絡先ステータス(自社)	B01	入力済み
A4010002	連絡先ステータス(相手先)	B00	入力依頼中
A4010002	連絡先ステータス(相手先)	B01	入力完了
A4010003	取引区分ステータス	B00	取引中
A4010003	取引区分ステータス	B01	取引停止
A4010004	通知/更新ステータス	B00	通知/更新対象
A4010004	通知/更新ステータス	B01	通知/更新しない
A5000001	分類1	B00	分類1
A5000002	分類2	B00	分類2
A5000003	分類3	B00	分類3
A5000004	用途区分	B01	サンプル
A5000004	用途区分	B02	調査依頼
A5000005	ファイル形式	B00	ファイル種別
A5010001	入力フォームステータス	B00	未確定
A5010001	入力フォームステータス	B01	確定
A6000001	災害分類	B00	災害分類
A6010001	災害調査ステータス	B00	未調査
A6010001	災害調査ステータス	B01	調査中
A6010001	災害調査ステータス	B02	調査終了

